family,species,trophic_guild
Acanthuridae,Acanthurus achilles,herbivores-detritivores
Acanthuridae,Acanthurus guttatus,herbivores-detritivores
Acanthuridae,Acanthurus lineatus,herbivores-detritivores
Acanthuridae,Acanthurus nigricans,herbivores-detritivores
Acanthuridae,Acanthurus nigrofuscus,herbivores-detritivores
Acanthuridae,Acanthurus nigroris,herbivores-detritivores
Acanthuridae,Acanthurus olivaceus,herbivores-detritivores
Acanthuridae,Acanthurus pyroferus,herbivores-detritivores
Acanthuridae,Acanthurus thompsoni,planktivores
Acanthuridae,Acanthurus triostegus,herbivores-detritivores
Acanthuridae,Ctenochaetus binotatus,herbivores-detritivores
Acanthuridae,Ctenochaetus flavicauda,herbivores-detritivores
Acanthuridae,Ctenochaetus striatus,herbivores-detritivores
Acanthuridae,Naso brevirostris,omnivores-pelagic
Acanthuridae,Naso lituratus,herbivores-detritivores
Acanthuridae,Naso unicornis,herbivores-detritivores
Acanthuridae,Naso vlamingii,omnivores-pelagic
Acanthuridae,Zebrasoma scopas,herbivores-detritivores
Acanthuridae,Zebrasoma velifer,herbivores-detritivores
Anthiadidae,Mirolabrichthys pascalus,planktivores
Apogonidae,Cheilodipterus macrodon,macrocarnivores
Apogonidae,Fowleria marmorata,invertivores-benthic
Apogonidae,Nectamia savayensis,invertivores-benthic
Apogonidae,Ostorhinchus angustatus,invertivores-benthic
Apogonidae,Pristiapogon exostigma,invertivores-benthic
Apogonidae,Pristiapogon fraenatus,invertivores-benthic
Aulostomidae,Aulostomus chinensis,macrocarnivores
Balistidae,Balistapus undulatus,invertivores-benthic
Balistidae,Melichthys niger,omnivores-pelagic
Balistidae,Melichthys vidua,omnivores-pelagic
Balistidae,Odonus niger,invertivores-pelagic
Balistidae,Rhinecanthus aculeatus,invertivores-benthic
Balistidae,Rhinecanthus lunula,invertivores-benthic
Balistidae,Rhinecanthus rectangulus,invertivores-benthic
Balistidae,Sufflamen bursa,invertivores-benthic
Belonidae,Tylosurus crocodilus,macrocarnivores
Blenniidae,Exallias brevis,invertivores-sessile
Bothidae,Bothus mancus,macrocarnivores
Caesionidae,Pterocaesio tile,planktivores
Carangidae,Caranx melampygus,macrocarnivores
Carangidae,Caranx papuensis,macrocarnivores
Carangidae,Scomberoides lysan,macrocarnivores
Chaetodontidae,Chaetodon auriga,invertivores-benthic
Chaetodontidae,Chaetodon bennetti,invertivores-sessile
Chaetodontidae,Chaetodon citrinellus,invertivores-sessile
Chaetodontidae,Chaetodon ephippium,invertivores-sessile
Chaetodontidae,Chaetodon lunula,invertivores-benthic
Chaetodontidae,Chaetodon lunulatus,invertivores-sessile
Chaetodontidae,Chaetodon mertensii,invertivores-benthic
Chaetodontidae,Chaetodon ornatissimus,invertivores-sessile
Chaetodontidae,Chaetodon pelewensis,invertivores-sessile
Chaetodontidae,Chaetodon quadrimaculatus,invertivores-sessile
Chaetodontidae,Chaetodon reticulatus,invertivores-sessile
Chaetodontidae,Chaetodon trichrous,invertivores-pelagic
Chaetodontidae,Chaetodon trifascialis,invertivores-sessile
Chaetodontidae,Chaetodon ulietensis,invertivores-sessile
Chaetodontidae,Chaetodon unimaculatus,invertivores-sessile
Chaetodontidae,Chaetodon vagabundus,invertivores-benthic
Chaetodontidae,Forcipiger flavissimus,invertivores-benthic
Chaetodontidae,Forcipiger longirostris,invertivores-benthic
Chaetodontidae,Hemitaurichthys polylepis,planktivores
Chaetodontidae,Heniochus chrysostomus,invertivores-sessile
Cirrhitidae,Cirrhitus pinnulatus,macrocarnivores
Cirrhitidae,Paracirrhites forsteri,macrocarnivores
Cirrhitidae,Paracirrhites hemistictus,macrocarnivores
Creediidae,Limnichthys nitidus,invertivores-benthic
Diodontidae,Diodon hystrix,invertivores-benthic
Ephippidae,Platax orbicularis,omnivores-benthic
Epinephelidae,Cephalopholis argus,macrocarnivores
Epinephelidae,Cephalopholis leopardus,macrocarnivores
Epinephelidae,Cephalopholis sexmaculata,macrocarnivores
Epinephelidae,Cephalopholis urodeta,macrocarnivores
Epinephelidae,Epinephelus fasciatus,macrocarnivores
Epinephelidae,Epinephelus hexagonatus,macrocarnivores
Epinephelidae,Epinephelus merra,macrocarnivores
Epinephelidae,Variola louti,macrocarnivores
Fistulariidae,Fistularia commersonii,macrocarnivores
Gobiidae,Cabillus tongarevae,invertivores-benthic
Gobiidae,Priolepis semidoliata,invertivores-benthic
Gobiidae,Priolepis squamogena,invertivores-benthic
Gobiidae,Valenciennea strigata,invertivores-benthic
Hemiramphidae,Hemiramphus depauperatus,omnivores-pelagic
Holocentridae,Myripristis berndti,invertivores-benthic
Holocentridae,Myripristis kuntee,invertivores-benthic
Holocentridae,Myripristis violacea,invertivores-benthic
Holocentridae,Neoniphon argenteus,macrocarnivores
Holocentridae,Neoniphon sammara,macrocarnivores
Holocentridae,Sargocentron caudimaculatum,macrocarnivores
Holocentridae,Sargocentron microstoma,macrocarnivores
Holocentridae,Sargocentron spiniferum,macrocarnivores
Holocentridae,Sargocentron tiere,macrocarnivores
Kuhliidae,Kuhlia mugil,planktivores
Kyphosidae,Kyphosus cinerascens,herbivores-detritivores
Kyphosidae,Kyphosus vaigiensis,herbivores-detritivores
Labridae,Anampses caeruleopunctatus,invertivores-benthic
Labridae,Cheilinus chlorourus,invertivores-benthic
Labridae,Cheilinus oxycephalus,invertivores-benthic
Labridae,Cheilinus trilobatus,invertivores-benthic
Labridae,Cheilio inermis,macrocarnivores
Labridae,Coris aygula,invertivores-benthic
Labridae,Coris gaimard,invertivores-benthic
Labridae,Epibulus insidiator,macrocarnivores
Labridae,Gomphosus varius,invertivores-benthic
Labridae,Halichoeres hortulanus,invertivores-benthic
Labridae,Halichoeres marginatus,invertivores-benthic
Labridae,Halichoeres trimaculatus,invertivores-benthic
