id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
AC_TR_MO_03_16_001,2016,Acanthurus triostegus,Acanthuridae,5.6986,1.7402205306373497,4.7323,4.3,herbivores-detritivores,-13.8504219833005,6.90144547078869,2.573585597368867,McCutchan,1.3,2.9,-15.896083259880026,2.3380472384189757
AC_TR_MO_03_16_002,2016,Acanthurus triostegus,Acanthuridae,5.0786999999999995,1.6250553233291767,4.0242000000000004,2.7,herbivores-detritivores,-14.656505498073,7.01970975235867,2.573585597368867,McCutchan,1.3,2.9,-16.70216677465253,2.4563115199889562
AC_TR_MO_03_16_006,2016,Acanthurus triostegus,Acanthuridae,19.3544,2.9629197838074406,15.485,119.1,herbivores-detritivores,-12.2670817814361,7.40431712183415,2.573585597368867,McCutchan,1.3,2.9,-14.312743058015627,2.8409188894644357
AC_TR_MO_03_16_007,2016,Acanthurus triostegus,Acanthuridae,17.4304,2.858215808207218,14.682,84.5,herbivores-detritivores,-12.1113082623846,7.71424802523478,2.573585597368867,McCutchan,1.3,2.9,-14.156969538964127,3.150849792865066
AC_TR_MO_03_16_008,2016,Acanthurus triostegus,Acanthuridae,15.3329,2.730000846552074,12.3676,64.7,herbivores-detritivores,-11.8063381006139,7.61853112068139,2.573585597368867,McCutchan,1.3,2.9,-13.851999377193426,3.055132888311676
AC_TR_MO_03_16_009,2016,Acanthurus triostegus,Acanthuridae,16.6661,2.8133767161820233,13.7536,78,herbivores-detritivores,-11.6190119887647,8.08706973896504,2.573585597368867,McCutchan,1.3,2.9,-13.664673265344227,3.523671506595326
AC_TR_MO_03_16_010,2016,Acanthurus triostegus,Acanthuridae,17.572200000000002,2.866318107792445,13.786,93.6,herbivores-detritivores,-12.0119109734486,7.52953812584943,2.573585597368867,McCutchan,1.3,2.9,-14.057572250028127,2.966139893479716
AC_TR_MO_03_16_011,2016,Acanthurus triostegus,Acanthuridae,14.7175,2.689037261920279,11.8565,54.7,herbivores-detritivores,-11.3446232956568,7.62494460509916,2.573585597368867,McCutchan,1.3,2.9,-13.390284572236327,3.0615463727294463
AC_TR_MO_03_16_012,2016,Acanthurus triostegus,Acanthuridae,18.0446,2.8928464710438555,14.6825,106.5,herbivores-detritivores,-9.81746316081493,7.14057280650945,2.573585597368867,McCutchan,1.3,2.9,-11.863124437394456,2.577174574139736
AC_TR_MO_03_16_013,2016,Acanthurus triostegus,Acanthuridae,18.8877,2.9385109165566927,15.3409,123,herbivores-detritivores,-13.3166947995141,8.2122178693495,2.573585597368867,McCutchan,1.3,2.9,-15.362356076093626,3.648819636979786
