sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
AC_TR_MO_03_16_001,2016,Fishes,Acanthurus triostegus,5.6986,4.7323,4.3,-13.8504219833005,6.90144547078869,47.5034703411078,13.3338397092139,3.5626249735312276,-13.021564603855616,Acanthuridae,herbivores-detritivores,1.7402205306373497,2.598523586778251,Post,0.39,3.4,-13.644988802699134,1.4664652757426362
AC_TR_MO_03_16_002,2016,Fishes,Acanthurus triostegus,5.0786999999999995,4.0242000000000004,2.7,-14.656505498073,7.01970975235867,53.1630924633387,14.8830983839052,3.5720446839772317,-13.821377426262677,Acanthuridae,herbivores-detritivores,1.6250553233291767,2.598523586778251,Post,0.39,3.4,-14.444801625106194,1.5847295573126168
AC_TR_MO_03_16_006,2016,Fishes,Acanthurus triostegus,19.3544,15.485,119.1,-12.2670817814361,7.40431712183415,47.2643806907963,13.6641251579451,3.4590125708351036,-12.2670817814361,Acanthuridae,herbivores-detritivores,2.9629197838074406,2.598523586778251,Post,0.39,3.4,-12.890505980279618,1.9693369267880962
AC_TR_MO_03_16_007,2016,Fishes,Acanthurus triostegus,17.4304,14.682,84.5,-12.1113082623846,7.71424802523478,46.593463423595,13.4218615829743,3.471460582092356,-12.1113082623846,Acanthuridae,herbivores-detritivores,2.858215808207218,2.598523586778251,Post,0.39,3.4,-12.734732461228118,2.2792678301887266
AC_TR_MO_03_16_008,2016,Fishes,Acanthurus triostegus,15.3329,12.3676,64.7,-11.8063381006139,7.61853112068139,48.193140404011,13.759362369514,3.5025707667086645,-11.017527657904074,Acanthuridae,herbivores-detritivores,2.730000846552074,2.598523586778251,Post,0.39,3.4,-11.640951856747591,2.1835509256353367
AC_TR_MO_03_16_009,2016,Fishes,Acanthurus triostegus,16.6661,13.7536,78,-11.6190119887647,8.08706973896504,47.1201249543615,13.4230961839198,3.510376764699717,-10.82498939740798,Acanthuridae,herbivores-detritivores,2.8133767161820233,2.598523586778251,Post,0.39,3.4,-11.448413596251498,2.6520895439189864
AC_TR_MO_03_16_010,2016,Fishes,Acanthurus triostegus,17.572200000000002,13.786,93.6,-12.0119109734486,7.52953812584943,46.1353809141125,13.1305476378859,3.513591526144494,-11.215742438121712,Acanthuridae,herbivores-detritivores,2.866318107792445,2.598523586778251,Post,0.39,3.4,-11.83916663696523,2.0945579308033766
AC_TR_MO_03_16_011,2016,Fishes,Acanthurus triostegus,14.7175,11.8565,54.7,-11.3446232956568,7.62494460509916,46.5504104282726,13.3369598819986,3.490331442857787,-11.3446232956568,Acanthuridae,herbivores-detritivores,2.689037261920279,2.598523586778251,Post,0.39,3.4,-11.968047494500318,2.189964410053107
AC_TR_MO_03_16_012,2016,Fishes,Acanthurus triostegus,18.0446,14.6825,106.5,-9.81746316081493,7.14057280650945,48.1894161852519,13.943841151655,3.4559642254338416,-9.81746316081493,Acanthuridae,herbivores-detritivores,2.8928464710438555,2.598523586778251,Post,0.39,3.4,-10.440887359658447,1.7055926114633966
AC_TR_MO_03_16_013,2016,Fishes,Acanthurus triostegus,18.8877,15.3409,123,-13.3166947995141,8.2122178693495,48.5214137308819,13.7764206745151,3.5220624338687125,-12.51487333285549,Acanthuridae,herbivores-detritivores,2.9385109165566927,2.598523586778251,Post,0.39,3.4,-13.138297531699008,2.7772376743034464
AC_TR_MO_03_16_014,2016,Fishes,Acanthurus triostegus,17.434800000000003,14.2726,107.3,-12.667746386519,7.81468810968358,47.8386564905457,13.7458563377952,3.480223808174828,-12.667746386519,Acanthuridae,herbivores-detritivores,2.8584682088831563,2.598523586778251,Post,0.39,3.4,-13.291170585362517,2.3797079146375264
AC_TR_MO_03_16_015,2016,Fishes,Acanthurus triostegus,15.3409,12.6488,84.6,-13.3198759191857,7.95347655445472,48.0671268765226,13.8418438894917,3.4725956498478987,-13.3198759191857,Acanthuridae,herbivores-detritivores,2.7305224643615005,2.598523586778251,Post,0.39,3.4,-13.943300118029217,2.5184963594086662
AC_TR_MO_03_16_016,2016,Fishes,Acanthurus triostegus,17.1356,13.6316,113.6,-9.95000981379596,7.03449878086294,48.5515380354486,13.5343667905081,3.587278133285015,-9.104747038740015,Acanthuridae,herbivores-detritivores,2.8411581707625473,2.598523586778251,Post,0.39,3.4,-9.728171237583533,1.5995185858168863
CT_ST_MO_03_16_001,2016,Fishes,Ctenochaetus striatus,17.412,12.9091,78,-8.74013284594493,7.46061944032365,47.7164558114037,13.5113746996307,3.5315766805510846,-7.931965022618497,Acanthuridae,herbivores-detritivores,2.857159623690051,2.886384442111263,Post,0.39,3.4,-8.66765495504189,1.046912337145355
