sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
BA_UN_MO_03_16_001,2016,Fishes,Balistapus undulatus,28.3016,24.113,451.5,-10.4597270472104,11.6533232774226,46.3493194133498,13.2208438820935,3.505776168806136,-9.668776078840542,Balistidae,invertivores-benthic,3.3429183401535036,3.8860027803533934,Post,0.39,3.4,-10.794317163178366,1.8409138242210634
BA_UN_MO_03_16_002,2016,Fishes,Balistapus undulatus,18.9435,15.7043,131.7,-11.6414298456194,11.9975345371831,30.330438593087,8.54090233073318,3.5511983884826055,-10.820183062462199,Balistidae,invertivores-benthic,2.9414608647721976,3.8860027803533934,Post,0.39,3.4,-11.945724146800023,2.1851250839815624
BA_UN_MO_03_16_003,2016,Fishes,Balistapus undulatus,20.3955,17.290399999999998,145.3,-12.3404352881408,12.0015023903215,46.2225952243778,13.391442866482,3.4516516020891412,-12.3404352881408,Balistidae,invertivores-benthic,3.015314288281713,3.8860027803533934,Post,0.39,3.4,-13.465976372478623,2.1890929371199626
BA_UN_MO_03_16_004,2016,Fishes,Balistapus undulatus,19.2429,16.6809,146.6,-12.5247766624643,12.3308342008129,45.9583179865755,13.1472474731055,3.4956608279101427,-12.5247766624643,Balistidae,invertivores-benthic,2.957142161530017,3.8860027803533934,Post,0.39,3.4,-13.650317746802124,2.5184247476113626
BA_UN_MO_03_16_005,2016,Fishes,Balistapus undulatus,19.9545,16.9371,137.1,-13.3502495445783,11.607732528162,48.71919767919,14.0705832255482,3.462486017688998,-13.3502495445783,Balistidae,invertivores-benthic,2.9934546818099332,3.8860027803533934,Post,0.39,3.4,-14.475790628916124,1.7953230749604625
BA_UN_MO_03_16_006,2016,Fishes,Balistapus undulatus,17.3895,14.6861,118.6,-14.7289688175837,13.869044398236,45.2800341843599,13.0131734600491,3.479553571107862,-14.7289688175837,Balistidae,invertivores-benthic,2.855866575796429,3.8860027803533934,Post,0.39,3.4,-15.854509901921524,4.056634945034462
BA_UN_MO_03_16_007,2016,Fishes,Balistapus undulatus,14.1016,11.7781,55.2,-14.946787898518,12.9597389232572,47.0034964574229,13.3754025111375,3.514174352381828,-14.150230346878216,Balistidae,invertivores-benthic,2.6462882661236065,3.8860027803533934,Post,0.39,3.4,-15.27577143121604,3.147329470055663
BA_UN_MO_03_16_008,2016,Fishes,Balistapus undulatus,13.815,11.7478,52.5,-12.6439471213106,11.3774137265804,49.8390562252709,14.2402616516471,3.4998694156371957,-12.6439471213106,Balistidae,invertivores-benthic,2.6257549583753796,3.8860027803533934,Post,0.39,3.4,-13.769488205648424,1.5650042733788627
BA_UN_MO_03_16_009,2016,Fishes,Balistapus undulatus,13.0434,10.9617,43.3,-13.7653478203219,12.4392731364696,45.6195096036194,12.9101405799696,3.533618346061947,-12.955818520255312,Balistidae,invertivores-benthic,2.5682822587090515,3.8860027803533934,Post,0.39,3.4,-14.081359604593136,2.6268636832680627
BA_UN_MO_03_16_010,2016,Fishes,Balistapus undulatus,12.906,10.5308,48.9,-14.8349044054315,13.3188296322869,47.4931556715693,13.5582719842225,3.5028914987718323,-14.04587976671,Balistidae,invertivores-benthic,2.557692319513648,3.8860027803533934,Post,0.39,3.4,-15.171420851047824,3.506420179085362
BA_UN_MO_03_16_011,2016,Fishes,Balistapus undulatus,11.7184,9.472,30.4,-14.9968690811377,13.1412682043413,46.970109704675,13.4500406560896,3.4921909089850187,-14.9968690811377,Balistidae,invertivores-benthic,2.4611602560579997,3.8860027803533934,Post,0.39,3.4,-16.12241016547552,3.3288587511397623
BA_UN_MO_03_16_012,2016,Fishes,Balistapus undulatus,10.6739,8.8138,22.3,-15.391125199633,13.5321017384786,45.1919893501099,12.7701791495824,3.53886886164692,-14.578095246457217,Balistidae,invertivores-benthic,2.367801509308752,3.8860027803533934,Post,0.39,3.4,-15.70363633079504,3.7196922852770626
BA_UN_MO_03_16_013,2016,Fishes,Balistapus undulatus,7.0396,5.7376,7.7,-16.2947176009413,11.9499202995217,47.3505437408898,13.1919394828373,3.589354226684621,-15.448074207901096,Balistidae,invertivores-benthic,1.9515513503739188,3.8860027803533934,Post,0.39,3.4,-16.57361529223892,2.137510846320163
CH_AU_MO_03_16_001,2016,Fishes,Chaetodon auriga,6.504300000000001,5.6423000000000005,5.8,-9.48262375954653,8.40906660643289,45.547082553671,12.7503292109224,3.572227963702592,-8.647373707614253,Chaetodontidae,invertivores-benthic,1.8724634966430178,3.2127552680113416,Post,0.39,3.4,-9.510348262138677,0.8856986951943293
CH_AU_MO_03_16_002,2016,Fishes,Chaetodon auriga,6.3664000000000005,5.570600000000001,5.3,-8.58045081917202,8.33949938197996,41.9540207104462,11.8943534515605,3.527221625059576,-7.775187608350034,Chaetodontidae,invertivores-benthic,1.8510341606905272,3.2127552680113416,Post,0.39,3.4,-8.638162162874458,0.8161314707413991
CH_AU_MO_03_16_003,2016,Fishes,Chaetodon auriga,5.8072,4.9468000000000005,4,-9.70362943843117,8.11887189871495,48.5805918712928,13.6153212750982,3.5680826687611464,-8.87113851986321,Chaetodontidae,invertivores-benthic,1.7590985269884938,3.2127552680113416,Post,0.39,3.4,-9.734113074387635,0.5955039874763886
