id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CH_CI_MO_03_16_001,2016,Chaetodon citrinellus,Chaetodontidae,10.9453,2.3929101403753386,9.2442,29,invertivores-sessile,-7.9338424623312,9.58211038785418,3.1186151124095476,McCutchan,1.3,2.9,-10.688042108463613,3.4381265618664916
CH_CI_MO_03_16_002,2016,Chaetodon citrinellus,Chaetodontidae,10.0748,2.3100372565190854,8.567400000000001,23,invertivores-sessile,-8.28203803960029,8.85709407993234,3.1186151124095476,McCutchan,1.3,2.9,-11.0362376857327,2.7131102539446523
CH_CI_MO_03_16_003,2016,Chaetodon citrinellus,Chaetodontidae,9.0829,2.2063935248811375,7.8653,15,invertivores-sessile,-8.58670916971074,8.90271754116955,3.1186151124095476,McCutchan,1.3,2.9,-11.340908815843152,2.7587337151818616
CH_CI_MO_03_16_004,2016,Chaetodon citrinellus,Chaetodontidae,8.6076,2.152645533938252,7.324299999999999,12,invertivores-sessile,-9.51704422772659,8.72220732497014,3.1186151124095476,McCutchan,1.3,2.9,-12.271243873859001,2.578223498982453
CH_CI_MO_03_16_005,2016,Chaetodon citrinellus,Chaetodontidae,7.2884,1.9862840431935866,6.1857,9,invertivores-sessile,-10.046954371883,8.1320777720105,3.1186151124095476,McCutchan,1.3,2.9,-12.801154018015412,1.988093946022813
CH_CI_MO_03_16_006,2016,Chaetodon citrinellus,Chaetodontidae,7.2311,1.9783911684430622,6.1573,9,invertivores-sessile,-10.0251921483037,8.41176942568213,3.1186151124095476,McCutchan,1.3,2.9,-12.779391794436112,2.2677855996944416
CH_CI_MO_03_16_007,2016,Chaetodon citrinellus,Chaetodontidae,7.4343,2.006104426185915,6.5386,8,invertivores-sessile,-9.64979379156043,8.38300680881518,3.1186151124095476,McCutchan,1.3,2.9,-12.403993437692842,2.2390229828274926
CH_CI_MO_03_16_008,2016,Chaetodon citrinellus,Chaetodontidae,6.759600000000001,1.9109637167065316,5.8593,7,invertivores-sessile,-9.19931576346854,8.3433342338263,3.1186151124095476,McCutchan,1.3,2.9,-11.953515409600952,2.1993504078386117
CH_CI_MO_03_16_009,2016,Chaetodon citrinellus,Chaetodontidae,6.9726,1.941988182474746,6.0694,6,invertivores-sessile,-11.0697788801109,8.3611868925713,3.1186151124095476,McCutchan,1.3,2.9,-13.82397852624331,2.217203066583613
CH_CI_MO_03_16_010,2016,Chaetodon citrinellus,Chaetodontidae,6.424899999999999,1.8601810664578253,5.5459000000000005,6,invertivores-sessile,-9.12314798094093,7.8940423220772,3.1186151124095476,McCutchan,1.3,2.9,-11.877347627073341,1.7500584960895127
CH_CI_MO_03_16_011,2016,Chaetodon citrinellus,Chaetodontidae,6.598699999999999,1.8868726599343315,5.6738,6,invertivores-sessile,-10.6356225197035,8.22233288011021,3.1186151124095476,McCutchan,1.3,2.9,-13.389822165835911,2.0783490541225227
CH_CI_MO_03_16_012,2016,Chaetodon citrinellus,Chaetodontidae,6.5887,1.8853560604656376,5.6107,6,invertivores-sessile,-10.5964505172608,8.38499043756463,3.1186151124095476,McCutchan,1.3,2.9,-13.350650163393212,2.2410066115769425
CH_CI_MO_03_16_013,2016,Chaetodon citrinellus,Chaetodontidae,6.308,1.8418186691007918,5.5287,5,invertivores-sessile,-9.62911967916007,8.29671895821436,3.1186151124095476,McCutchan,1.3,2.9,-12.383319325292481,2.152735132226672
CH_EP_MO_03_16_001,2016,Chaetodon ephippium,Chaetodontidae,15.651,2.7505348127083655,13.7306,88,invertivores-sessile,-13.6697990830556,9.56044847569774,3.159333909016916,McCutchan,1.3,2.9,-16.47693316477759,3.2983801395486836
CH_EP_MO_03_16_002,2016,Chaetodon ephippium,Chaetodontidae,4.2443,1.445576906283616,3.5148,1.7,invertivores-sessile,-11.9954697625992,8.2122178693495,3.159333909016916,McCutchan,1.3,2.9,-14.80260384432119,1.9501495332004435
CH_PE_MO_03_16_001,2016,Chaetodon pelewensis,Chaetodontidae,8.6564,2.1582989317573302,7.6009,13.6,invertivores-sessile,-13.8309758130805,10.2960272329848,3.3999305155268758,McCutchan,1.3,2.9,-16.950885483265438,3.3362287379568603
MOO18_F017,2018,Zanclus cornutus,Zanclidae,14,2.6390573296152584,11,65.2,invertivores-sessile,-14.6215969168719,9.64451372798814,3.29396109660518,McCutchan,1.3,2.9,-17.603746342458635,2.9920265478331185
MOO18_F018,2018,Heniochus chrysostomus,Chaetodontidae,11.5,2.4423470353692043,9.5,50.5,invertivores-sessile,-10.5801336129737,10.8407830313355,3.4772170279244934,McCutchan,1.3,2.9,-13.800515749275542,3.656853650354469
MOO18_F019,2018,Heniochus chrysostomus,Chaetodontidae,13.5,2.6026896854443837,11.3,57.2,invertivores-sessile,-10.1617790131561,10.7466503648426,3.4772170279244934,McCutchan,1.3,2.9,-13.382161149457941,3.5627209838615688
MOO18_F021,2018,Chaetodon ornatissimus,Chaetodontidae,10.7,2.3702437414678603,9.6,33.5,invertivores-sessile,-14.3966326509323,9.99555013011793,3.25383021505289,McCutchan,1.3,2.9,-17.32661193050106,3.4594425064645495
MOO18_F022,2018,Chaetodon lunulatus,Chaetodontidae,11.1,2.4069451083182885,10.2,37.4,invertivores-sessile,-12.5633712205995,8.98852670836571,3.2226519248251844,McCutchan,1.3,2.9,-15.45281872287224,2.5428361263726753
