sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CH_CI_MO_03_16_001,2016,Fishes,Chaetodon citrinellus,10.9453,9.2442,29,-7.9338424623312,9.58211038785418,47.1641234989294,13.3391237340333,3.535773746411494,-7.122875991431114,Chaetodontidae,invertivores-sessile,2.3929101403753386,3.0463582645458294,Post,0.39,3.4,-7.920955714603987,2.6244922883983595
CH_CI_MO_03_16_002,2016,Fishes,Chaetodon citrinellus,10.0748,8.567400000000001,23,-8.28203803960029,8.85709407993234,46.3654287744071,13.1594005197188,3.5233693742302687,-7.479344617652548,Chaetodontidae,invertivores-sessile,2.3100372565190854,3.0463582645458294,Post,0.39,3.4,-8.277424340825421,1.8994759804765202
CH_CI_MO_03_16_003,2016,Fishes,Chaetodon citrinellus,9.0829,7.8653,15,-8.58670916971074,8.90271754116955,46.6441801420171,13.4351087112771,3.4718126324400425,-8.58670916971074,Chaetodontidae,invertivores-sessile,2.2063935248811375,3.0463582645458294,Post,0.39,3.4,-9.384788892883615,1.9450994417137295
CH_CI_MO_03_16_004,2016,Fishes,Chaetodon citrinellus,8.6076,7.324299999999999,12,-9.51704422772659,8.72220732497014,45.5503912453838,12.9854532456739,3.507801413135802,-8.724741003126852,Chaetodontidae,invertivores-sessile,2.152645533938252,3.0463582645458294,Post,0.39,3.4,-9.522820726299726,1.764589225514321
CH_CI_MO_03_16_005,2016,Fishes,Chaetodon citrinellus,7.2884,6.1857,9,-10.046954371883,8.1320777720105,45.9538101070161,13.0792424944294,3.5134917122752607,-9.250852459982342,Chaetodontidae,invertivores-sessile,1.9862840431935866,3.0463582645458294,Post,0.39,3.4,-10.048932183155216,1.174459672554681
CH_CI_MO_03_16_006,2016,Fishes,Chaetodon citrinellus,7.2311,6.1573,9,-10.0251921483037,8.41176942568213,44.6166988915614,12.6136205895016,3.537184155411823,-9.213285332604382,Chaetodontidae,invertivores-sessile,1.9783911684430622,3.0463582645458294,Post,0.39,3.4,-10.011365055777256,1.4541513262263095
CH_CI_MO_03_16_007,2016,Fishes,Chaetodon citrinellus,7.4343,6.5386,8,-9.64979379156043,8.38300680881518,44.596937157607,12.5580971078154,3.551249586201445,-8.82851289891196,Chaetodontidae,invertivores-sessile,2.006104426185915,3.0463582645458294,Post,0.39,3.4,-9.626592622084834,1.4253887093593605
CH_CI_MO_03_16_008,2016,Fishes,Chaetodon citrinellus,6.759600000000001,5.8593,7,-9.19931576346854,8.3433342338263,48.2180981997931,13.4048073668278,3.5970750552608455,-8.347539205448228,Chaetodontidae,invertivores-sessile,1.9109637167065316,3.0463582645458294,Post,0.39,3.4,-9.145618928621102,1.3857161343704796
CH_CI_MO_03_16_009,2016,Fishes,Chaetodon citrinellus,6.9726,6.0694,6,-11.0697788801109,8.3611868925713,49.0477121675411,13.8372070295566,3.5446251590204607,-10.252912103110571,Chaetodontidae,invertivores-sessile,1.941988182474746,3.0463582645458294,Post,0.39,3.4,-11.050991826283445,1.4035687931154808
CH_CI_MO_03_16_010,2016,Fishes,Chaetodon citrinellus,6.424899999999999,5.5459000000000005,6,-9.12314798094093,7.8940423220772,46.1739089001425,13.0183146774138,3.5468422790741254,-8.304803688526885,Chaetodontidae,invertivores-sessile,1.8601810664578253,3.0463582645458294,Post,0.39,3.4,-9.102883411699759,0.9364242226213806
CH_CI_MO_03_16_011,2016,Fishes,Chaetodon citrinellus,6.598699999999999,5.6738,6,-10.6356225197035,8.22233288011021,45.1085507801331,12.530271445156,3.5999659686200443,-9.781924453183823,Chaetodontidae,invertivores-sessile,1.8868726599343315,3.0463582645458294,Post,0.39,3.4,-10.580004176356697,1.2647147806543906
CH_CI_MO_03_16_012,2016,Fishes,Chaetodon citrinellus,6.5887,5.6107,6,-10.5964505172608,8.38499043756463,46.6699127486971,13.1822809185455,3.540351858458691,-9.782431977182682,Chaetodontidae,invertivores-sessile,1.8853560604656376,3.0463582645458294,Post,0.39,3.4,-10.580511700355556,1.4273723381088104
CH_CI_MO_03_16_013,2016,Fishes,Chaetodon citrinellus,6.308,5.5287,5,-9.62911967916007,8.29671895821436,44.5035907769005,12.7087679861517,3.501802127900557,-8.840822574017173,Chaetodontidae,invertivores-sessile,1.8418186691007918,3.0463582645458294,Post,0.39,3.4,-9.638902297190047,1.33910085875854
CH_EP_MO_03_16_001,2016,Fishes,Chaetodon ephippium,15.651,13.7306,88,-13.6697990830556,9.56044847569774,47.8928980193449,13.267937785218,3.6096715853388353,-12.809651977825581,Chaetodontidae,invertivores-sessile,2.7505348127083655,3.1289757251913355,Post,0.39,3.4,-13.639952510650202,2.3219310100471997
CH_EP_MO_03_16_002,2016,Fishes,Chaetodon ephippium,4.2443,3.5148,1.7,-11.9954697625992,8.2122178693495,48.3166479986008,13.0398555334879,3.705305467113336,-11.071942570974018,Chaetodontidae,invertivores-sessile,1.445576906283616,3.1289757251913355,Post,0.39,3.4,-11.90224310379864,0.9737004036989596
CH_PE_MO_03_16_001,2016,Fishes,Chaetodon pelewensis,8.6564,7.6009,13.6,-13.8309758130805,10.2960272329848,48.7537664723259,13.6864101340774,3.5622026517337293,-13.002399641405361,Chaetodontidae,invertivores-sessile,2.1582989317573302,3.3473819787500165,Post,0.39,3.4,-13.917878613117868,2.314928505234744
MOO18_F017,2018,Fishes,Zanclus cornutus,14,11,65.2,-14.6215969168719,9.64451372798814,42.4300202657585,13.2203246270556,3.209453736024364,-14.6215969168719,Zanclidae,invertivores-sessile,2.6390573296152584,3.260001965172613,Post,0.39,3.4,-15.502997683289218,1.9605070464012568
MOO18_F018,2018,Fishes,Heniochus chrysostomus,11.5,9.5,50.5,-10.5801336129737,10.8407830313355,41.0025832651904,12.6765738685443,3.234516178455314,-10.5801336129737,Chaetodontidae,invertivores-sessile,2.4423470353692043,3.391004257349047,Post,0.39,3.4,-11.512625273339829,2.7113685563487397
MOO18_F019,2018,Fishes,Heniochus chrysostomus,13.5,11.3,57.2,-10.1617790131561,10.7466503648426,43.1542657165254,13.4966973241699,3.1973944943734267,-10.1617790131561,Chaetodontidae,invertivores-sessile,2.6026896854443837,3.391004257349047,Post,0.39,3.4,-11.094270673522228,2.6172358898558397
MOO18_F021,2018,Fishes,Chaetodon ornatissimus,10.7,9.6,33.5,-14.3966326509323,9.99555013011793,43.13730898779,13.3900265931689,3.2215999488602267,-14.3966326509323,Chaetodontidae,invertivores-sessile,2.3702437414678603,3.19084522230277,Post,0.39,3.4,-15.251062287630381,2.546676374288513
MOO18_F022,2018,Fishes,Chaetodon lunulatus,11.1,10.2,37.4,-12.5633712205995,8.98852670836571,43.9519643331957,13.4702328790885,3.262895655013339,-12.5633712205995,Chaetodontidae,invertivores-sessile,2.4069451083182885,3.1495833991816036,Post,0.39,3.4,-13.401708746280326,1.6799431511482572
