sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
BO_MA_MO_03_16_001,2016,Fishes,Bothus mancus,23.6481,20.2424,140.1,-7.61718872132982,7.75917273177512,47.948750236874,13.7999398431248,3.474562264904532,-7.61718872132982,Bothidae,macrocarnivores,3.1632827734442657,2.999698425592176,McCutchan,1.3,2.9,-10.21679667459965,1.960047297557809
BO_MA_MO_03_16_002,2016,Fishes,Bothus mancus,21.9503,18.0898,109.7,-8.12192637588159,7.62335832510622,48.7425918985422,14.0801070567502,3.4618054892682313,-8.12192637588159,Bothidae,macrocarnivores,3.08878080685375,2.999698425592176,McCutchan,1.3,2.9,-10.721534329151417,1.8242328908889087
BO_MA_MO_03_16_003,2016,Fishes,Bothus mancus,17.7881,15.2389,70.5,-7.46555535031952,7.25755163853085,48.3167691204415,13.9297595281311,3.468600374820969,-7.46555535031952,Bothidae,macrocarnivores,2.8785296944001315,2.999698425592176,McCutchan,1.3,2.9,-10.06516330358935,1.4584262043135388
BO_MA_MO_03_16_004,2016,Fishes,Bothus mancus,8.9433,7.365900000000001,7.5,-12.7716629624561,8.08334288491915,48.5580710415321,13.7184676008907,3.539613348533139,-11.958136714580597,Bothidae,macrocarnivores,2.1909046485914,2.999698425592176,McCutchan,1.3,2.9,-14.557744667850425,2.2842174507018385
BO_MA_MO_03_16_005,2016,Fishes,Bothus mancus,8.408199999999999,6.9716,6,-11.5267847976583,7.70464869990074,49.2065068587453,13.929576510349,3.53251994575623,-10.717987944453691,Bothidae,macrocarnivores,2.1292074201613946,2.999698425592176,McCutchan,1.3,2.9,-13.317595897723521,1.9055232656834287
BO_MA_MO_03_16_006,2016,Fishes,Bothus mancus,8.3941,7.112399999999999,5.5,-13.4100076432128,8.36885054273407,49.169603822162,13.7388596899592,3.578870803819092,-12.570337257949442,Bothidae,macrocarnivores,2.127529078111821,2.999698425592176,McCutchan,1.3,2.9,-15.169945211219272,2.5697251085167583
BO_MA_MO_03_16_007,2016,Fishes,Bothus mancus,7.056100000000001,5.9716000000000005,3.2,-14.4788638528518,8.83577452478556,48.8368874092632,13.8379538555888,3.5291986025476745,-13.672282015408625,Bothidae,macrocarnivores,1.9538924909396647,2.999698425592176,McCutchan,1.3,2.9,-16.271889968678455,3.0366490905682486
CA_ME_MO_03_16_001,2016,Fishes,Caranx melampygus,36.8809,30.4728,627,-15.3686349078124,12.3008559058282,49.0704024861053,12.0982027882196,4.056007602541321,-14.215223421346256,Carangidae,macrocarnivores,3.607693801861349,3.7925790226830394,McCutchan,1.3,2.9,-17.845576150834205,4.202376740047386
CA_ME_MO_03_16_002,2016,Fishes,Caranx melampygus,8.4901,7.505800000000001,10,-16.7843524450155,11.2156072043625,46.8452327919779,13.2607733866584,3.5326169466939734,-15.975490907017981,Carangidae,macrocarnivores,2.1389007788169043,3.7925790226830394,McCutchan,1.3,2.9,-19.60584363650593,3.1171280385816864
CA_ME_MO_03_16_005,2016,Fishes,Caranx melampygus,71.24969999999999,60.0227,4218.8,-9.45481551825883,11.1684117429748,48.9545557276723,14.1802847716338,3.452297081198316,-9.45481551825883,Carangidae,macrocarnivores,4.26619060861358,3.7925790226830394,McCutchan,1.3,2.9,-13.08516824774678,3.0699325771939865
CA_ME_MO_03_16_007,2016,Fishes,Caranx melampygus,36.7782,29.3573,714.3,-14.0462315775217,11.6095607281403,48.9817153925538,13.2886769091128,3.685973835285607,-13.135492024889045,Carangidae,macrocarnivores,3.6049052783374824,3.7925790226830394,McCutchan,1.3,2.9,-16.765844754376996,3.511081562359486
CA_ME_MO_03_16_008,2016,Fishes,Caranx melampygus,39.249,31.6426,162.3,-18.1265477428898,12.4294038983241,53.6611691918753,11.2261594093516,4.78001133202995,-16.51081903070986,Carangidae,macrocarnivores,3.669925966196849,3.7925790226830394,McCutchan,1.3,2.9,-20.141171760197814,4.330924732543286
CA_PA_MO_03_16_001,2016,Fishes,Caranx papuensis,38.5642,29.6199,659.6,-14.6220142380713,12.8110721214447,47.5498934667238,13.6740422075055,3.477383844890013,-14.6220142380713,Carangidae,macrocarnivores,3.6523243849726916,4.5981853446839125,McCutchan,1.3,2.9,-19.299655186160386,2.3763346218613552
CE_AR_MO_03_16_001,2016,Fishes,Cephalopholis argus,32.925,28.768400000000003,651.3,-10.844539866065,12.6249968895015,47.0806582127065,13.8190772043843,3.4069321356544338,-10.844539866065,Epinephelidae,macrocarnivores,3.494232247629345,4.260989757193577,McCutchan,1.3,2.9,-15.08382655041665,3.168126593640128
CE_AR_MO_03_16_002,2016,Fishes,Cephalopholis argus,22.136000000000003,19.096800000000002,149.9,-15.089261575211,13.6505329529642,54.2633572158373,15.7198096817308,3.4519092988066467,-15.089261575211,Epinephelidae,macrocarnivores,3.097205242484625,4.260989757193577,McCutchan,1.3,2.9,-19.32854825956265,4.193662657102829
CE_AR_MO_03_16_003,2016,Fishes,Cephalopholis argus,19.9998,17.759999999999998,113.7,-15.3205901950114,13.7369221820351,47.369049265211,13.6456739932423,3.471360175295805,-15.3205901950114,Epinephelidae,macrocarnivores,2.995722273503991,4.260989757193577,McCutchan,1.3,2.9,-19.55987687936305,4.2800518861737284
CE_AR_MO_03_16_004,2016,Fishes,Cephalopholis argus,20.6128,18.1319,144.1,-15.2319743914006,14.0281107072452,49.1187463006894,14.3043957978754,3.4338218121722344,-15.2319743914006,Epinephelidae,macrocarnivores,3.0259122420551234,4.260989757193577,McCutchan,1.3,2.9,-19.47126107575225,4.571240411383828
CE_AR_MO_03_16_005,2016,Fishes,Cephalopholis argus,16.2996,14.4667,65.7,-14.2165964096803,12.9036967287984,48.4054491326386,14.0273012680932,3.450802703064678,-14.2165964096803,Epinephelidae,macrocarnivores,2.7911405676343084,4.260989757193577,McCutchan,1.3,2.9,-18.45588309403195,3.446826432937028
CE_AR_MO_03_16_016,2016,Fishes,Cephalopholis argus,24.0855,20.7036,201.8,-11.5007763114535,11.9915827574754,47.3113596309971,13.6113368658162,3.4758789748136976,-11.5007763114535,Epinephelidae,macrocarnivores,3.181609999675712,4.260989757193577,McCutchan,1.3,2.9,-15.74006299580515,2.5347124616140295
CE_AR_MO_03_16_016b,2016,Fishes,Cephalopholis argus,35.6794,30.9716,725.9,-13.545071141943,12.7997522869049,49.2705433331271,12.6512348053112,3.8945244548336504,-12.497019282608232,Epinephelidae,macrocarnivores,3.574573491426918,4.260989757193577,McCutchan,1.3,2.9,-16.736305966959883,3.3428819910435283
CE_AR_MO_03_16_017,2016,Fishes,Cephalopholis argus,21.4746,18.3579,139.7,-12.2914196625981,11.9300810338294,47.5061658945349,13.6302209852413,3.485355515950491,-12.2914196625981,Epinephelidae,macrocarnivores,3.0668708413871846,4.260989757193577,McCutchan,1.3,2.9,-16.53070634694975,2.473210737968028
CE_AR_MO_03_16_017b,2016,Fishes,Cephalopholis argus,31.4639,27.955,399,-12.0439407819826,12.2859486434454,46.6299849707662,13.3890326117596,3.48270008169306,-12.0439407819826,Epinephelidae,macrocarnivores,3.448840856889014,4.260989757193577,McCutchan,1.3,2.9,-16.28322746633425,2.829078347584028
CE_AR_MO_03_16_018,2016,Fishes,Cephalopholis argus,12.0101,10.411,19.7,-12.8295259864904,9.98781692255816,47.4821763034572,13.3947251157347,3.5448414128095984,-12.01251508822298,Epinephelidae,macrocarnivores,2.485747962451899,4.260989757193577,McCutchan,1.3,2.9,-16.25180177257463,0.5309466266967888
CE_AR_TA_03_16_006,2016,Fishes,Cephalopholis argus,35.6269,31.4966,771.3,-15.2458539750987,14.080783034331,52.8575844842604,15.3968032757057,3.4330233060562185,-15.2458539750987,Epinephelidae,macrocarnivores,3.573100970499976,4.260989757193577,McCutchan,1.3,2.9,-19.48514065945035,4.623912738469629
CE_AR_TA_03_16_007,2016,Fishes,Cephalopholis argus,32.1389,29.3555,577.6,-10.2630834274918,11.519715356971,51.6034993393181,14.5758994210726,3.540330366489366,-9.449079213749068,Epinephelidae,macrocarnivores,3.470067134459201,4.260989757193577,McCutchan,1.3,2.9,-13.688365898100717,2.0628450611096287
CE_AR_TA_03_16_008,2016,Fishes,Cephalopholis argus,30.6196,26.826299999999996,384.4,-12.8684266589416,12.1548768758833,46.0624776518226,13.1580559360588,3.500705413904752,-12.080862031191213,Epinephelidae,macrocarnivores,3.4216403267869286,4.260989757193577,McCutchan,1.3,2.9,-16.320148715542864,2.6980065800219286
CE_AR_TA_03_16_009,2016,Fishes,Cephalopholis argus,34.226,31.3606,607.1,-10.5605428483549,12.0328837077924,47.9929096341526,13.8309315925503,3.469969416955459,-10.5605428483549,Epinephelidae,macrocarnivores,3.53298558915526,4.260989757193577,McCutchan,1.3,2.9,-14.79982953270655,2.5760134119310294
CE_AR_TA_03_16_010,2016,Fishes,Cephalopholis argus,27.6486,24.2356,285.3,-13.142630676041,12.6130951170049,49.2068468446924,14.0388247559737,3.5050545683145065,-12.352161553363024,Epinephelidae,macrocarnivores,3.3195750937750623,4.260989757193577,McCutchan,1.3,2.9,-16.591448237714673,3.156224821143528
CE_AR_TA_03_16_011,2016,Fishes,Cephalopholis argus,25.9444,23.8549,256.7,-13.3580766894762,12.8402206088162,47.2980783209097,13.5991759074359,3.478010626735666,-13.3580766894762,Epinephelidae,macrocarnivores,3.255955786709167,4.260989757193577,McCutchan,1.3,2.9,-17.59736337382785,3.3833503129548284
CE_AR_TA_03_16_012,2016,Fishes,Cephalopholis argus,26.897699999999997,24.5714,319.6,-11.896743376125,12.1142124865197,51.5254189758768,14.7753589652321,3.487253277373584,-11.896743376125,Epinephelidae,macrocarnivores,3.292040781093565,4.260989757193577,McCutchan,1.3,2.9,-16.13603006047665,2.657342190658328
CE_AR_TA_03_16_013,2016,Fishes,Cephalopholis argus,32.4731,28.0901,578.4,-11.3613926760738,12.3601824514507,46.5653363167378,13.193586424854,3.5293918436777956,-10.554681955429244,Epinephelidae,macrocarnivores,3.4804120543015937,4.260989757193577,McCutchan,1.3,2.9,-14.793968639780893,2.9033121555893295
