sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
BO_MA_MO_03_16_001,2016,Fishes,Bothus mancus,23.6481,20.2424,140.1,-7.61718872132982,7.75917273177512,47.948750236874,13.7999398431248,3.474562264904532,-7.61718872132982,Bothidae,macrocarnivores,3.1632827734442657,2.894555164660402,Post,0.39,3.4,-8.356065235547376,1.317685171929753
BO_MA_MO_03_16_002,2016,Fishes,Bothus mancus,21.9503,18.0898,109.7,-8.12192637588159,7.62335832510622,48.7425918985422,14.0801070567502,3.4618054892682313,-8.12192637588159,Bothidae,macrocarnivores,3.08878080685375,2.894555164660402,Post,0.39,3.4,-8.860802890099146,1.1818707652608529
BO_MA_MO_03_16_003,2016,Fishes,Bothus mancus,17.7881,15.2389,70.5,-7.46555535031952,7.25755163853085,48.3167691204415,13.9297595281311,3.468600374820969,-7.46555535031952,Bothidae,macrocarnivores,2.8785296944001315,2.894555164660402,Post,0.39,3.4,-8.204431864537078,0.8160640786854829
BO_MA_MO_03_16_004,2016,Fishes,Bothus mancus,8.9433,7.365900000000001,7.5,-12.7716629624561,8.08334288491915,48.5580710415321,13.7184676008907,3.539613348533139,-11.958136714580597,Bothidae,macrocarnivores,2.1909046485914,2.894555164660402,Post,0.39,3.4,-12.697013228798154,1.6418553250737826
BO_MA_MO_03_16_005,2016,Fishes,Bothus mancus,8.408199999999999,6.9716,6,-11.5267847976583,7.70464869990074,49.2065068587453,13.929576510349,3.53251994575623,-10.717987944453691,Bothidae,macrocarnivores,2.1292074201613946,2.894555164660402,Post,0.39,3.4,-11.456864458671248,1.2631611400553728
BO_MA_MO_03_16_006,2016,Fishes,Bothus mancus,8.3941,7.112399999999999,5.5,-13.4100076432128,8.36885054273407,49.169603822162,13.7388596899592,3.578870803819092,-12.570337257949442,Bothidae,macrocarnivores,2.127529078111821,2.894555164660402,Post,0.39,3.4,-13.309213772166999,1.9273629828887024
BO_MA_MO_03_16_007,2016,Fishes,Bothus mancus,7.056100000000001,5.9716000000000005,3.2,-14.4788638528518,8.83577452478556,48.8368874092632,13.8379538555888,3.5291986025476745,-13.672282015408625,Bothidae,macrocarnivores,1.9538924909396647,2.894555164660402,Post,0.39,3.4,-14.411158529626181,2.3942869649401928
CA_ME_MO_03_16_001,2016,Fishes,Caranx melampygus,36.8809,30.4728,627,-15.3686349078124,12.3008559058282,49.0704024861053,12.0982027882196,4.056007602541321,-14.215223421346256,Carangidae,macrocarnivores,3.607693801861349,3.5972071707186624,Post,0.39,3.4,-15.228134217926534,3.470351525384748
CA_ME_MO_03_16_002,2016,Fishes,Caranx melampygus,8.4901,7.505800000000001,10,-16.7843524450155,11.2156072043625,46.8452327919779,13.2607733866584,3.5326169466939734,-15.975490907017981,Carangidae,macrocarnivores,2.1389007788169043,3.5972071707186624,Post,0.39,3.4,-16.98840170359826,2.3851028239190484
CA_ME_MO_03_16_005,2016,Fishes,Caranx melampygus,71.24969999999999,60.0227,4218.8,-9.45481551825883,11.1684117429748,48.9545557276723,14.1802847716338,3.452297081198316,-9.45481551825883,Carangidae,macrocarnivores,4.26619060861358,3.5972071707186624,Post,0.39,3.4,-10.467726314839108,2.3379073625313485
CA_ME_MO_03_16_007,2016,Fishes,Caranx melampygus,36.7782,29.3573,714.3,-14.0462315775217,11.6095607281403,48.9817153925538,13.2886769091128,3.685973835285607,-13.135492024889045,Carangidae,macrocarnivores,3.6049052783374824,3.5972071707186624,Post,0.39,3.4,-14.148402821469324,2.779056347696848
CA_ME_MO_03_16_008,2016,Fishes,Caranx melampygus,39.249,31.6426,162.3,-18.1265477428898,12.4294038983241,53.6611691918753,11.2261594093516,4.78001133202995,-16.51081903070986,Carangidae,macrocarnivores,3.669925966196849,3.5972071707186624,Post,0.39,3.4,-17.52372982729014,3.598899517880648
CA_PA_MO_03_16_001,2016,Fishes,Caranx papuensis,38.5642,29.6199,659.6,-14.6220142380713,12.8110721214447,47.5498934667238,13.6740422075055,3.477383844890013,-14.6220142380713,Carangidae,macrocarnivores,3.6523243849726916,4.137787539687958,Post,0.39,3.4,-15.845751378549604,2.1425944865056454
CE_AR_MO_03_16_001,2016,Fishes,Cephalopholis argus,32.925,28.768400000000003,651.3,-10.844539866065,12.6249968895015,47.0806582127065,13.8190772043843,3.4069321356544338,-10.844539866065,Epinephelidae,macrocarnivores,3.494232247629345,3.9756863039210986,Post,0.39,3.4,-12.005057524594228,2.507663456169764
CE_AR_MO_03_16_002,2016,Fishes,Cephalopholis argus,22.136000000000003,19.096800000000002,149.9,-15.089261575211,13.6505329529642,54.2633572158373,15.7198096817308,3.4519092988066467,-15.089261575211,Epinephelidae,macrocarnivores,3.097205242484625,3.9756863039210986,Post,0.39,3.4,-16.249779233740227,3.533199519632465
CE_AR_MO_03_16_003,2016,Fishes,Cephalopholis argus,19.9998,17.759999999999998,113.7,-15.3205901950114,13.7369221820351,47.369049265211,13.6456739932423,3.471360175295805,-15.3205901950114,Epinephelidae,macrocarnivores,2.995722273503991,3.9756863039210986,Post,0.39,3.4,-16.481107853540628,3.6195887487033644
CE_AR_MO_03_16_004,2016,Fishes,Cephalopholis argus,20.6128,18.1319,144.1,-15.2319743914006,14.0281107072452,49.1187463006894,14.3043957978754,3.4338218121722344,-15.2319743914006,Epinephelidae,macrocarnivores,3.0259122420551234,3.9756863039210986,Post,0.39,3.4,-16.392492049929828,3.910777273913464
CE_AR_MO_03_16_005,2016,Fishes,Cephalopholis argus,16.2996,14.4667,65.7,-14.2165964096803,12.9036967287984,48.4054491326386,14.0273012680932,3.450802703064678,-14.2165964096803,Epinephelidae,macrocarnivores,2.7911405676343084,3.9756863039210986,Post,0.39,3.4,-15.377114068209528,2.786363295466664
CE_AR_MO_03_16_016,2016,Fishes,Cephalopholis argus,24.0855,20.7036,201.8,-11.5007763114535,11.9915827574754,47.3113596309971,13.6113368658162,3.4758789748136976,-11.5007763114535,Epinephelidae,macrocarnivores,3.181609999675712,3.9756863039210986,Post,0.39,3.4,-12.661293969982728,1.8742493241436655
CE_AR_MO_03_16_016b,2016,Fishes,Cephalopholis argus,35.6794,30.9716,725.9,-13.545071141943,12.7997522869049,49.2705433331271,12.6512348053112,3.8945244548336504,-12.497019282608232,Epinephelidae,macrocarnivores,3.574573491426918,3.9756863039210986,Post,0.39,3.4,-13.65753694113746,2.6824188535731643
CE_AR_MO_03_16_017,2016,Fishes,Cephalopholis argus,21.4746,18.3579,139.7,-12.2914196625981,11.9300810338294,47.5061658945349,13.6302209852413,3.485355515950491,-12.2914196625981,Epinephelidae,macrocarnivores,3.0668708413871846,3.9756863039210986,Post,0.39,3.4,-13.451937321127328,1.812747600497664
CE_AR_MO_03_16_017b,2016,Fishes,Cephalopholis argus,31.4639,27.955,399,-12.0439407819826,12.2859486434454,46.6299849707662,13.3890326117596,3.48270008169306,-12.0439407819826,Epinephelidae,macrocarnivores,3.448840856889014,3.9756863039210986,Post,0.39,3.4,-13.204458440511829,2.168615210113664
