id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CH_SO_MO_03_16_001,2016,Chlorurus spilurus,Scaridae,28.362,3.345050221039154,25.9925,409,microphages,-6.31151334639332,5.50315091282503,2.3209199839887855,Post,0.39,3.4,-6.826672140148946,1.0120229672631602
CH_SO_MO_03_16_002,2016,Chlorurus spilurus,Scaridae,30.1746,3.4070005108891057,25.9003,394.2,microphages,-7.81501438206064,5.8414103928779,2.3209199839887855,Post,0.39,3.4,-8.330173175816267,1.3502824473160295
CH_SO_MO_03_16_003,2016,Chlorurus spilurus,Scaridae,25.7922,3.250072120636585,23.3867,355.6,microphages,-6.86666858351782,5.84339431944712,2.3209199839887855,Post,0.39,3.4,-7.381827377273446,1.35226637388525
CH_SO_MO_03_16_004,2016,Chlorurus spilurus,Scaridae,28.0713,3.334747702090842,25.3911,271.2,microphages,-12.7613303335615,9.16448739632978,2.3209199839887855,Post,0.39,3.4,-13.276489127317125,4.673359450767911
CH_SO_MO_03_16_006,2016,Chlorurus spilurus,Scaridae,24.1349,3.1836589257436074,22.4819,242.5,microphages,-7.66050860589355,5.64400969924001,2.3209199839887855,Post,0.39,3.4,-8.175667399649177,1.1528817536781402
CH_SO_MO_03_16_007,2016,Chlorurus spilurus,Scaridae,25.6479,3.2444616969201077,23.3824,267.5,microphages,-6.69724500827253,4.9764184086958,2.3209199839887855,Post,0.39,3.4,-7.212403802028156,0.48529046313392943
CH_SO_MO_03_16_008,2016,Chlorurus spilurus,Scaridae,25.9664,3.2568033945794803,23.3969,263.2,microphages,-9.49752900666638,7.53469171971144,2.3209199839887855,Post,0.39,3.4,-10.012687800422006,3.04356377414957
CH_SO_MO_03_16_009,2016,Chlorurus spilurus,Scaridae,22.4684,3.112109877609452,20.7577,200,microphages,-8.50336425381194,5.97433347301597,2.3209199839887855,Post,0.39,3.4,-9.018523047567566,1.4832055274540998
CH_SO_MO_03_16_010,2016,Chlorurus spilurus,Scaridae,20.0112,2.996292116812505,18.6285,147.8,microphages,-9.43679225327656,6.29672154051504,2.3209199839887855,Post,0.39,3.4,-9.951951047032185,1.8055935949531694
CH_SO_MO_03_16_011,2016,Chlorurus spilurus,Scaridae,21.9362,3.088138240210926,20.5486,222.1,microphages,-10.0121930748643,6.3969098322609,2.3209199839887855,Post,0.39,3.4,-10.527351868619926,1.90578188669903
