sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CE_FL_MO_03_16_001,2016,Fishes,Centropyge flavissima,9.7487,7.981,19,-13.6208750221401,10.1502348527405,46.3729167698506,13.2510479201122,3.4995660003211237,-13.6208750221401,Pomacanthidae,omnivores-benthic,2.2771339427867434,3.4497384691777877,McCutchan,1.3,2.9,-16.805535032071223,3.0459932921249155
CE_FL_MO_03_16_002,2016,Fishes,Centropyge flavissima,9.6232,7.813599999999999,19.1,-17.6395483328734,11.5654309616115,46.9333133506498,13.3944825245486,3.5039288202909855,-16.84983095815294,Pomacanthidae,omnivores-benthic,2.264176849697726,3.4497384691777877,McCutchan,1.3,2.9,-20.034490968084064,4.4611894009959165
CE_FL_MO_03_16_003,2016,Fishes,Centropyge flavissima,9.3512,7.855500000000001,17.4,-17.428151596549,10.8608143596525,45.5208056221303,12.8880571922313,3.5320145575990662,-16.619691764998645,Pomacanthidae,omnivores-benthic,2.2355046773114235,3.4497384691777877,McCutchan,1.3,2.9,-19.80435177492977,3.756572799036915
CE_FL_MO_03_16_004,2016,Fishes,Centropyge flavissima,8.273900000000001,7.0813999999999995,14.5,-13.8012853628128,10.5200714366868,47.3104230434662,13.6313751588839,3.470700680747741,-13.8012853628128,Pomacanthidae,omnivores-benthic,2.113105981913488,3.4497384691777877,McCutchan,1.3,2.9,-16.985945372743924,3.415829876071216
ST_FA_MO_03_16_001,2016,Fishes,Plectroglyphidodon fasciolatus,8.427800000000001,6.570099999999999,9.2,-15.8234171006914,10.5061925922097,47.680682471954,13.7856331701744,3.458722706702546,-15.8234171006914,Pomacentridae,omnivores-benthic,2.1315357652379703,3.2221839762923583,McCutchan,1.3,2.9,-18.712256269871464,4.0618590609618614
ST_FA_MO_03_16_002,2016,Fishes,Plectroglyphidodon fasciolatus,7.767100000000001,6.1095999999999995,6.8,-16.105476378235,10.7123925672982,47.8624834211514,13.777918385697,3.473854473607417,-16.105476378235,Pomacentridae,omnivores-benthic,2.049896864338535,3.2221839762923583,McCutchan,1.3,2.9,-18.994315547415066,4.268059036050362
ST_FA_MO_03_16_003,2016,Fishes,Plectroglyphidodon fasciolatus,8.2665,6.1998,7.3,-17.5793951593841,11.2338405812241,48.4535524790635,13.9044475935355,3.4847520660648668,-17.5793951593841,Pomacentridae,omnivores-benthic,2.1122112030092626,3.2221839762923583,McCutchan,1.3,2.9,-20.468234328564165,4.789507049976262
MOO18_F068,2018,Fishes,Cantherhines sandwichiensis,14.5,13,66.1,-16.1055717237721,8.74338955604044,45.311647783001,13.250064248668,3.419730420368043,-16.1055717237721,Monacanthidae,omnivores-benthic,2.6741486494265287,3.0042245596879846,McCutchan,1.3,2.9,-18.71106365136648,2.9311383329452854
MOO18_F109,2018,Fishes,Ostracion cubicum,24.4,19.5,306.6,-10.6726920583811,8.72728462298866,35.9532702417404,12.4048149602983,2.8983318458847713,-10.6726920583811,Ostraciidae,omnivores-benthic,3.1945831322991562,3.181672603012951,McCutchan,1.3,2.9,-13.508866442297936,2.400434074251103
MOO18_F137,2018,Fishes,Abudefduf septemfasciatus,18.4,14.9,158.6,-12.9938390179567,8.64878676096488,38.1991235757623,13.4796060976621,2.8338456850298877,-12.9938390179567,Pomacentridae,omnivores-benthic,2.91235066461494,3.021692069544875,McCutchan,1.3,2.9,-15.622038708365038,2.785879759284742
MOO18_F167,2018,Fishes,Pygoplites diacanthus,17,13.6,119.3,-14.7056554804028,12.1638027468034,41.2867166892477,14.5335595308801,2.840784915871709,-14.7056554804028,Pomacanthidae,omnivores-benthic,2.833213344056216,3.586518160239821,McCutchan,1.3,2.9,-18.068129088714567,4.66290008210792
MOO18_F205,2018,Fishes,Canthigaster valentini,8.9,6.8,16.8,-11.657856479016,8.20149646772901,42.8399187856815,13.4214272821257,3.191904846270304,-11.657856479016,Tetraodontidae,omnivores-benthic,2.186051276738094,3.0957931289081095,McCutchan,1.3,2.9,-14.382387546596544,2.123696393895492
MOO18_F210,2018,Fishes,Centropyge loriculus,6.4,4.9,7.9,-17.0568387130838,9.25441603525487,42.6800904694591,12.713611710502,3.3570390099458107,-17.0568387130838,Pomacanthidae,omnivores-benthic,1.8562979903656263,3.2732103369595267,McCutchan,1.3,2.9,-20.012012151131184,2.6621060580722427
MOO18_F331,2018,Fishes,Cantherhines sandwichiensis,16.1,12.5,77.8,-16.3863373114777,9.13414475346033,39.9510545670355,13.4955304618621,2.960317468063652,-16.3863373114777,Monacanthidae,omnivores-benthic,2.7788192719904172,3.0042245596879846,McCutchan,1.3,2.9,-18.99182923907208,3.321893530365174
MOO18_F412,2018,Fishes,Centropyge flavissima,10.1,8.4,26.8,-15.4144224335469,9.36310817541526,40.0943702533266,13.309065339686,3.01256092971233,-15.4144224335469,Pomacanthidae,omnivores-benthic,2.3125354238472138,3.4497384691777877,McCutchan,1.3,2.9,-18.599082443478025,2.2588666147996754
