sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
AB_SE_MO_03_16_001,2016,Fishes,Abudefduf sexfasciatus,6.406699999999999,4.4981,3.9,-13.7011516754882,8.58319691154686,44.2455908117204,12.6981172273708,3.484421353139582,-13.7011516754882,Pomacentridae,planktivores,1.8573443177741331,3.032478512784957,Post,0.39,3.4,-14.493818295474334,1.6727699680780068
AB_SE_MO_03_16_002,2016,Fishes,Abudefduf sexfasciatus,6.1315,4.2781,3.8,-13.7586031988364,8.59689811245579,46.8778607769834,13.1940053396168,3.5529666367669437,-12.93617840453691,Pomacentridae,planktivores,1.8134394182199436,3.032478512784957,Post,0.39,3.4,-13.728845024523043,1.6864711689869365
AB_SE_MO_03_16_003,2016,Fishes,Abudefduf sexfasciatus,5.6104,3.9615,3,-13.6721227157945,8.65255189201814,46.1844745459437,13.0701255280347,3.5335907407224627,-12.86261182332251,Pomacentridae,planktivores,1.7246220182405636,3.032478512784957,Post,0.39,3.4,-13.655278443308642,1.7421249485492867
AB_SE_MO_03_16_004,2016,Fishes,Abudefduf sexfasciatus,5.1616,3.6457,1.7,-13.6336869455537,8.64559516957284,46.7814742376912,13.2856496984429,3.5212033509489618,-12.832438666588995,Pomacentridae,planktivores,1.6412466089487527,3.032478512784957,Post,0.39,3.4,-13.625105286575128,1.735168226103986
AB_SE_MO_03_16_005,2016,Fishes,Abudefduf sexfasciatus,5.058400000000001,3.7376,2.1,-14.1589758055114,8.88112991522062,45.2364436329636,12.5824010923428,3.595215515780441,-13.30843537622589,Pomacentridae,planktivores,1.6210502277622665,3.032478512784957,Post,0.39,3.4,-14.101101996212023,1.9707029717517672
CH_JO_MO_03_16_001,2016,Fishes,Pycnochromis iomelas,6.0366,4.434,3.1,-16.4660032743434,11.4509453626875,48.4867689910402,13.6468714146663,3.5529585879245147,-15.643583841967684,Pomacentridae,planktivores,1.797840939543923,3.546319651068724,Post,0.39,3.4,-16.636648505884487,2.79345854905384
CH_JO_MO_03_16_002,2016,Fishes,Pycnochromis iomelas,5.081,4.1747,3,-16.2507475099022,10.9423848472047,48.4226598659304,13.6653868837773,3.543453271960765,-15.434661758100843,Pomacentridae,planktivores,1.625508092611595,3.546319651068724,Post,0.39,3.4,-16.427726422017646,2.2848980335710394
CH_JO_MO_03_16_003,2016,Fishes,Pycnochromis iomelas,6.0668999999999995,4.4752,3.5,-16.4087431202556,11.3706463339271,47.737531654102,13.5433946211457,3.5247833345687196,-15.605106405828883,Pomacentridae,planktivores,1.8028477662134754,3.546319651068724,Post,0.39,3.4,-16.598171069745685,2.7131595202934395
CH_JO_MO_03_16_004,2016,Fishes,Pycnochromis iomelas,5.5587,4.1849,2.8,-16.5964291808768,10.5141233604823,49.2920454736897,13.8553372707009,3.5576214790472696,-15.770903813265193,Pomacentridae,planktivores,1.7153642679743415,3.546319651068724,Post,0.39,3.4,-16.763968477181994,1.8566365468486392
CH_JO_MO_03_16_005,2016,Fishes,Pycnochromis iomelas,5.358700000000001,3.9826,2.7,-16.126683842712,11.208065584338,48.1804719648804,13.6967896921572,3.5176470580159815,-15.327808613559117,Pomacentridae,planktivores,1.6787214083523472,3.546319651068724,Post,0.39,3.4,-16.32087327747592,2.5505787707043392
CH_JO_MO_03_16_006,2016,Fishes,Pycnochromis iomelas,5.6418,4.1099,2.8,-16.2857398262892,11.2744857686214,48.3290735479105,13.4023019381149,3.6060278130630015,-15.428013515544018,Pomacentridae,planktivores,1.7302031635289492,3.546319651068724,Post,0.39,3.4,-16.42107817946082,2.6169989549877393
CH_JO_MO_03_16_007,2016,Fishes,Pycnochromis iomelas,4.7966999999999995,4.1676,3,-16.4564599153288,10.9037223518756,49.009642927045,13.5461965896684,3.6179633598721246,-15.590805672554477,Pomacentridae,planktivores,1.5679281814773471,3.546319651068724,Post,0.39,3.4,-16.58387033647128,2.2462355382419403
CH_JO_MO_03_16_008,2016,Fishes,Pycnochromis iomelas,4.6363,3.9397,2.4,-16.9548353305375,10.0303464958515,49.7301756082448,13.6803678050809,3.635149019149541,-16.077774101060182,Pomacentridae,planktivores,1.5339166343415638,3.546319651068724,Post,0.39,3.4,-17.070838764976983,1.3728596822178396
CH_VI_MO_03_16_001,2016,Fishes,Chromis viridis,5.3639,4.3378,1.9,-14.3095847664634,9.70411542315899,49.7095059247112,13.3712175154043,3.717649934827805,-13.377898243028127,Pomacentridae,planktivores,1.679691322441775,3.0924434924254207,Post,0.39,3.4,-14.193951205074042,2.5898075489125603
CH_VI_MO_03_16_002,2016,Fishes,Chromis viridis,4.5084,3.4604999999999997,1.2,-13.8865586068887,9.25178016537568,47.062483762824,12.6378943880812,3.7239181083210062,-12.950730906992629,Pomacentridae,planktivores,1.5059423233857865,3.0924434924254207,Post,0.39,3.4,-13.766783869038543,2.1374722911292494
CH_VI_MO_03_16_008,2016,Fishes,Chromis viridis,4.5015,3.3701,1.1,-13.8513952233472,9.16547935961439,48.3873633550737,12.9766103206482,3.7288137779771664,-12.912334006067315,Pomacentridae,planktivores,1.5044106745663945,3.0924434924254207,Post,0.39,3.4,-13.72838696811323,2.0511714853679592
CH_VI_MO_03_16_015,2016,Fishes,Chromis viridis,4.5851,3.5363,1.1,-13.6958238901031,9.23888464267572,47.4925722119838,12.9536084774939,3.6663584741270534,-12.798072146912098,Pomacentridae,planktivores,1.522811915721406,3.0924434924254207,Post,0.39,3.4,-13.614125108958012,2.1245767684292893
CH_VI_MO_03_16_025,2016,Fishes,Chromis viridis,4.012700000000001,3.0819,1,-13.8513952233472,9.29542654989863,50.6408295796279,13.6521197301608,3.7093748502476274,-12.925177739192911,Pomacentridae,planktivores,1.3894643314507118,3.0924434924254207,Post,0.39,3.4,-13.741230701238825,2.1811186756522005
OD_NI_MO_03_16_001,2016,Fishes,Odonus niger,26.2057,18.3832,179,-14.1817768519534,12.2233120677391,46.797932816086,13.6029206593765,3.440285655406522,-14.1817768519534,Balistidae,planktivores,3.2659769443568125,3.8584832707285597,Post,0.39,3.4,-15.296585327537539,2.504468947261996
OD_NI_MO_03_16_002,2016,Fishes,Odonus niger,20.3825,14.3345,91,-15.4167830400797,11.7442657247483,46.6702599140983,13.5002175610599,3.4570005781769213,-15.4167830400797,Balistidae,planktivores,3.014676689554929,3.8584832707285597,Post,0.39,3.4,-16.531591515663838,2.0254226042711974
OD_NI_MO_03_16_003,2016,Fishes,Odonus niger,21.9141,14.6424,108,-15.4744529325649,11.9991620190519,46.854418210314,13.5014137007532,3.4703342367547885,-15.4744529325649,Balistidae,planktivores,3.087130265265662,3.8584832707285597,Post,0.39,3.4,-16.58926140814904,2.280318898574796
