id,type,taxon,d13C,d15N
T19B,Invertebrates,Gastropoda,-10.9503352974049,4.58960850645244
T20A,Invertebrates,Gastropoda,-9.67637958123761,4.49240504837145
T20B,Invertebrates,Gastropoda,-8.92128650225786,4.43556003443081
T21A,Invertebrates,Bivalvia,-12.2813810473832,5.95414015976539
T21B,Invertebrates,Bivalvia,-12.3684065743106,5.62620564399157
T23A,Invertebrates,Echinodermata,-11.685285435016,9.05385501110691
T24B,Invertebrates,Echinodermata,-11.2692935785326,8.0422820019567
T25A,Invertebrates,Bivalvia,-18.5615983442269,6.65214854742694
T25B,Invertebrates,Bivalvia,-16.2842660122098,6.33681633751073
T26A,Invertebrates,Decapoda,-11.0986128043576,3.93546011557347
T26B,Invertebrates,Decapoda,-9.00856900486375,4.0081997572095
T27A,Invertebrates,Decapoda,-10.8134160518028,4.37789582642983
T27B,Invertebrates,Decapoda,-10.3867704966285,4.03702172939419
T28B,Invertebrates,Decapoda,-6.90840113351934,2.69928467558051
T29A,Invertebrates,Decapoda,-12.4011153603113,5.62621359064677
T29B,Invertebrates,Decapoda,-10.3986236759947,5.84783667148076
T30B,Invertebrates,Decapoda,-14.1237546822737,3.77663011862214
T31A,Invertebrates,Decapoda,-11.8762896974719,3.78817847089375
T31B,Invertebrates,Decapoda,-11.2736038255749,4.94342306154729
T32A,Invertebrates,Gastropoda,-10.0635235287715,4.55115325788933
T32B,Invertebrates,Gastropoda,-8.79305665275042,4.70191481186176
T33A,Invertebrates,Gastropoda,-12.6869009945295,6.0531313309684
T33B,Invertebrates,Gastropoda,-11.6119582183928,5.95318594912136
T34B,Invertebrates,Bivalvia,-14.3381894726264,6.96791814224452
T35B,Invertebrates,Decapoda,-7.21227354999914,3.24292670265041
T36A,Invertebrates,Decapoda,-12.3416209531878,3.26970727577121
T36B,Invertebrates,Decapoda,-7.7435114979585,3.53214028560715
T37A,Invertebrates,Bivalvia,-13.2243152100068,5.74503636317634
T37B,Invertebrates,Bivalvia,-13.0149436306506,5.37972808875696
T38B,Invertebrates,Decapoda,-19.8499178779249,4.26660364576192
T39A,Invertebrates,Decapoda,-5.97888971520194,2.26495174851569
T39B,Invertebrates,Decapoda,-4.26083188780707,3.16739325830432
T41B,Invertebrates,Decapoda,-8.92667431106069,3.74880200754726
T43B,Invertebrates,Decapoda,-15.5536791385456,5.2773603944458
T44B,Invertebrates,Gastropoda,-18.3564172777795,4.41468895112465
T45B,Invertebrates,Decapoda,-13.4793727494548,6.0545597823227
T46A,Invertebrates,Decapoda,-14.6725268322762,6.2830101142185
T46B,Invertebrates,Decapoda,-12.3447002155781,6.90431103121623
T47B,Invertebrates,Decapoda,-15.3220033600238,7.15277630867048
T48B,Invertebrates,Decapoda,-15.4857927476299,6.20264508768543
