source,sample_id,sample_type,species,d13C,d15N,C_percent,N_percent,CN_ratio
Green-Brown algae,T1,Algae,Sargassum sp,-11.0209867698827,3.07506272074904,25.5993411759527,0.56003877532892,45.709944210412544
Red algae,T101,Algae,Gelidiopsis sp,-15.8025959052365,4.15926664590168,25.8628856062958,1.31834684040778,19.617664193965915
Red algae,T102,Algae,Gelidiopsis sp,-14.4782725015001,4.60650414531933,23.2354471596935,1.52418153055722,15.244540557579738
Green-Brown algae,T103,Algae,Caulerpa serrulata,-10.3242719145156,3.70904756315458,21.4851546707206,1.29234746852813,16.62490560312723
Green-Brown algae,T104,Algae,Caulerpa serrulata,-8.37496268965056,4.26163434021283,23.5432214858125,1.30964862379176,17.976746631206307
Green-Brown algae,T105,Algae,Caulerpa serrulata,-10.3856929348679,4.15628506257223,25.2001909908804,1.41544902027398,17.803672636689203
Green-Brown algae,T109,Algae,Sargassum sp,-12.9082650163545,2.46175187033425,28.9597856306922,0.643406147219005,45.01011648064773
Green-Brown algae,T11,Algae,Turbinaria sp,-6.83887477502521,3.56677035365252,25.4759078075436,0.531262162399659,47.95355214546323
Green-Brown algae,T110,Algae,Sargassum sp,-12.7724922345231,2.40907723151394,29.9549451591307,0.612244062930974,48.926477156394895
Green-Brown algae,T111,Algae,Sargassum sp,-10.6593936220519,2.95967628635256,26.735602978602,0.634108241593343,42.16252246055443
Cyanobacteria,T115,Bacteria,Anabaena torulosa,-3.80610082484794,-0.176949376229888,15.4285565071531,0.88143958113997,17.503816299240018
Cyanobacteria,T116,Bacteria,Anabaena torulosa,-6.56358137013801,-0.93824698634971,16.774513929736,0.79443743808057,21.114958995719896
Cyanobacteria,T117,Bacteria,Anabaena torulosa,-3.10784080400075,-0.886566208639226,12.6799661766106,0.739233043497977,17.15286713457811
Green-Brown algae,T118,Algae,Padina boryana,-10.0603415237232,2.9089893697519,14.3398630154799,0.378546997459638,37.88132810909131
Green-Brown algae,T119,Algae,Padina boryana,-13.1299157269095,2.8096032587702,19.867277793327,0.461319475596192,43.06620215340198
Green-Brown algae,T120,Algae,Padina boryana,-10.3594499982562,3.06303784177353,15.8974092759303,0.438375699460016,36.26434881201779
Green-Brown algae,T16,Algae,Dictyota sp,-12.1464288516339,4.06484984046907,17.308906236688,0.658861340092237,26.270939245372706
Green-Brown algae,T17,Algae,Padina boryana,-8.74433412247071,3.36417775804808,12.7456033100189,0.335454479538474,37.9950308833395
Green-Brown algae,T18,Algae,Dictyota sp,-12.9352040603686,3.14652217499816,17.3106371432708,0.705499799773825,24.536700292218917
Red algae,T4,Algae,Amansia rhodantha,-14.4618978812702,4.62057118787913,37.4734858874607,2.50773040712115,14.943187585494842
Red algae,T5,Algae,Amansia rhodantha,-19.2272151492443,4.52639331464157,32.0431134802658,2.13739121657276,14.991693252883264
Green-Brown algae,T6,Algae,Dictyota sp,-11.158835288983,3.54892612503909,18.2399684683363,0.777269165224605,23.466733641833784
Red algae,T79,Algae,Amansia rhodantha,-15.7788895465041,4.27455453464045,25.0030797928224,1.0964418027003,22.80383667536681
Green-Brown algae,T8,Algae,Dictyota sp,-13.2053556110101,3.86714820197864,16.7018497408903,0.770011403432748,21.69039272202028
Green-Brown algae,T80,Algae,Turbinaria sp,-6.94503823337861,2.87519809201812,26.3163552868228,0.431045844958539,61.05233490733241
Green-Brown algae,T81,Algae,Dictyota sp,-11.0613241587432,2.91694025863043,16.3314925394838,0.626060872064927,26.086109623203075
Green-Brown algae,T82,Algae,Dictyota sp,-13.0160211924111,3.69712122983678,17.2991264517485,0.728409184092792,23.74918772241175
Green-Brown algae,T86,Algae,Turbinaria sp,-7.60019578380314,2.99446142519616,29.494917267552,0.424071966185641,69.55167900591749
Green-Brown algae,T87,Algae,Turbinaria sp,-6.47306618225041,3.10478000838584,29.1060039482254,0.502437949958811,57.929549212219065
Red algae,T89,Algae,Amansia rhodantha,-16.7465400074929,4.47829606215294,37.2998750936771,2.84431252146296,13.11384554693451
Green-Brown algae,T9,Algae,Turbinaria sp,-6.45926116088754,3.0235127269769,22.3823562024159,0.744169234530144,30.07697061885089
Red algae,T90,Algae,Amansia rhodantha,-17.5428581485517,4.27654225686009,36.5196220397286,2.7134879996844,13.458552993039262
Red algae,T91,Algae,Amansia rhodantha,-15.1571364106571,4.58563306201317,35.5326370175935,2.68778774961212,13.220030868405171
Green-Brown algae,T92,Algae,Caulerpa racemosa,-8.94176017570862,2.50051245361711,20.4139406937862,0.973712319734171,20.96506358198212
Green-Brown algae,T93,Algae,Caulerpa racemosa,-6.98814070380127,2.03041614867367,17.6382857312586,0.708019096529067,24.912161010525057
POM,B_4_2,Water,NA,-22.6494141628447,3.62711362343866,0.151445683918389,0.0163394538405916,9.268711512385876
POM,B_9_2,Water,NA,-22.3810650704445,3.30350060490798,0.14818557876979,0.0188767306193404,7.85017182042978
POM,B_9_3,Water,NA,-22.5889560669284,3.41800982684961,0.147384052809208,0.0182278283971117,8.085661637705664
POM,B_3_2,Water,NA,-24.6880187304065,3.97860714818121,0.206232855969675,0.0168922322469635,12.208739079273958
POM,B_1_1,Water,NA,-21.8655802526323,0.898806944133886,0.154751203813629,0.0247488679051227,6.2528599048200295
POM,B_7_3,Water,NA,-21.5643504414005,2.91715644740059,0.146444562370458,0.0178617282257336,8.19879020214145
POM,B_1_5,Water,NA,-22.7035082486645,2.3266871551277,0.163423132406592,0.022745010578063,7.185010173800912
