trophic_guild,Model,LOOic,se_LOOic,dLOOic,se_dLOOic,weight
herbivores-detritivores,taxonomy,741.79,44.13,0,NA,0.74
herbivores-detritivores,full,744.97,44.35,3.18,5.52,0.21
herbivores-detritivores,tl,859.18,36.08,117.39,25.72,0.01
herbivores-detritivores,null,861.53,36.63,119.74,26.33,0.05
invertivores-benthic,full,1377.07,49.42,0,NA,0.88
invertivores-benthic,taxonomy,1418.88,50.29,41.81,15.47,0.1
invertivores-benthic,tl,1761.56,38.17,384.5,34.97,0
invertivores-benthic,null,1771.84,36.73,394.77,36.12,0.02
invertivores-sessile,full,435.78,26.17,0,NA,0.68
invertivores-sessile,taxonomy,450.54,27.16,14.76,13.21,0.32
invertivores-sessile,tl,504.03,26.25,68.25,13.78,0
invertivores-sessile,null,546.56,26.25,110.78,21.82,0
macrocarnivores,full,1124.07,52.45,0,NA,0.84
macrocarnivores,taxonomy,1139,48.69,14.93,13.4,0.12
macrocarnivores,tl,1361.6,47.06,237.53,33.32,0
macrocarnivores,null,1380.63,42.89,256.56,34.97,0.04
microphages,full,359.03,20.37,0,NA,0.95
microphages,taxonomy,363.65,20.05,4.62,3.89,0
microphages,tl,462.33,23.26,103.3,20.67,0.05
microphages,null,487.05,23.33,128.02,22.06,0
omnivores-benthic,taxonomy,257.68,18.62,0,NA,0.99
omnivores-benthic,full,260.86,19.05,3.18,1.37,0
omnivores-benthic,null,287.46,19.94,29.78,11.2,0.01
omnivores-benthic,tl,291.54,19.66,33.87,11.12,0
omnivores-pelagic,full,144.67,12.29,0,NA,1
omnivores-pelagic,taxonomy,152.93,13.09,8.26,3.24,0
omnivores-pelagic,tl,170.79,14.59,26.11,5.28,0
omnivores-pelagic,null,189.13,13.34,44.46,6.83,0
planktivores,full,208.72,17.54,0,NA,1
planktivores,taxonomy,212.15,16.82,3.43,3.28,0
planktivores,tl,234.96,18.48,26.24,6.59,0
planktivores,null,243.9,18.14,35.17,7.76,0
