trophic_guild,Model,LOOic,se_LOOic,dLOOic,se_dLOOic,weight
herbivores-detritivores,taxonomy,730.55,45.72,0,NA,0.69
herbivores-detritivores,full,734.03,46.03,3.48,5.8,0.24
herbivores-detritivores,tl,858.25,37.46,127.71,27.93,0
herbivores-detritivores,null,859.42,37.72,128.87,28.38,0.06
invertivores-benthic,full,1486.13,48.89,0,NA,0.94
invertivores-benthic,taxonomy,1498.57,48.66,12.44,7.34,0
invertivores-benthic,tl,1794.9,37.14,308.76,34.11,0.06
invertivores-benthic,null,1802.56,36.23,316.42,34.55,0
invertivores-sessile,full,446.83,32.13,0,NA,0.79
invertivores-sessile,taxonomy,464.53,33.69,17.69,13,0.16
invertivores-sessile,tl,516.8,31.05,69.97,14.97,0
invertivores-sessile,null,556.99,30.8,110.16,23.44,0.05
macrocarnivores,full,1187.6,41.42,0,NA,0.88
macrocarnivores,taxonomy,1207.28,42.6,19.68,12.74,0.09
macrocarnivores,tl,1401.95,42.93,214.35,30.75,0.03
macrocarnivores,null,1433.25,40.46,245.65,30.23,0
microphages,full,359.73,26.55,0,NA,0.91
microphages,taxonomy,363,26.07,3.27,3.07,0
microphages,tl,442.79,24.36,83.06,20.84,0.09
microphages,null,464.22,23.6,104.49,21.47,0
omnivores-benthic,taxonomy,285.45,20.78,0,NA,0.92
omnivores-benthic,full,287.81,21.19,2.36,1.75,0
omnivores-benthic,null,311.46,21.4,26.01,11.4,0.08
omnivores-benthic,tl,315.72,21.64,30.27,11.6,0
omnivores-pelagic,taxonomy,162.74,18.1,0,NA,1
omnivores-pelagic,full,165.32,18.29,2.58,1.03,0
omnivores-pelagic,tl,174.78,17.97,12.04,6.12,0
omnivores-pelagic,null,199.27,16.7,36.53,8.77,0
planktivores,full,216.95,22.31,0,NA,0.81
planktivores,taxonomy,218.86,21.23,1.92,3.59,0.19
planktivores,tl,249.8,22.52,32.86,7.82,0
planktivores,null,254.21,22.26,37.27,9.73,0
