"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
herbivores-detritivores,-,-,"0.121
[0.031, 0.314]","0.166
[0.03, 0.426]","0.147
[0.039, 0.3]","0.527
[0.297, 0.762]"
herbivores-detritivores,Acanthuridae,-,"0.125
[0.042, 0.292]","0.163
[0.028, 0.363]","0.188
[0.085, 0.323]","0.5
[0.298, 0.707]"
herbivores-detritivores,Acanthuridae,Acanthurus achilles,"0.133
[0.019, 0.289]","0.227
[0.021, 0.459]","0.327
[0.107, 0.476]","0.303
[0.09, 0.623]"
herbivores-detritivores,Acanthuridae,Acanthurus guttatus,"0.158
[0.017, 0.388]","0.183
[0.011, 0.63]","0.102
[0.017, 0.321]","0.514
[0.082, 0.771]"
herbivores-detritivores,Acanthuridae,Acanthurus lineatus,"0.19
[0.035, 0.356]","0.198
[0.019, 0.468]","0.266
[0.064, 0.444]","0.322
[0.104, 0.623]"
herbivores-detritivores,Acanthuridae,Acanthurus nigricans,"0.077
[0.013, 0.199]","0.124
[0.014, 0.318]","0.424
[0.225, 0.59]","0.36
[0.106, 0.65]"
herbivores-detritivores,Acanthuridae,Acanthurus nigrofuscus,"0.065
[0.007, 0.437]","0.088
[0.006, 0.615]","0.077
[0.01, 0.358]","0.731
[0.079, 0.935]"
herbivores-detritivores,Acanthuridae,Acanthurus nigroris,"0.108
[0.012, 0.334]","0.237
[0.016, 0.573]","0.222
[0.04, 0.404]","0.384
[0.082, 0.827]"
herbivores-detritivores,Acanthuridae,Acanthurus olivaceus,"0.041
[0.003, 0.185]","0.04
[0.004, 0.17]","0.053
[0.005, 0.202]","0.838
[0.605, 0.97]"
herbivores-detritivores,Acanthuridae,Acanthurus pyroferus,"0.072
[0.008, 0.201]","0.104
[0.011, 0.344]","0.317
[0.117, 0.498]","0.486
[0.164, 0.792]"
herbivores-detritivores,Acanthuridae,Acanthurus triostegus,"0.093
[0.016, 0.258]","0.351
[0.021, 0.579]","0.196
[0.059, 0.342]","0.36
[0.087, 0.696]"
herbivores-detritivores,Acanthuridae,Ctenochaetus binotatus,"0.219
[0.016, 0.548]","0.227
[0.012, 0.741]","0.103
[0.014, 0.288]","0.368
[0.071, 0.801]"
herbivores-detritivores,Acanthuridae,Ctenochaetus flavicauda,"0.085
[0.01, 0.277]","0.157
[0.018, 0.446]","0.161
[0.049, 0.355]","0.574
[0.192, 0.82]"
herbivores-detritivores,Acanthuridae,Ctenochaetus striatus,"0.276
[0.116, 0.469]","0.182
[0.016, 0.461]","0.091
[0.015, 0.271]","0.43
[0.154, 0.623]"
herbivores-detritivores,Acanthuridae,Naso lituratus,"0.166
[0.029, 0.334]","0.198
[0.016, 0.469]","0.285
[0.083, 0.455]","0.325
[0.108, 0.65]"
herbivores-detritivores,Acanthuridae,Naso unicornis,"0.491
[0.269, 0.687]","0.131
[0.009, 0.484]","0.072
[0.013, 0.196]","0.263
[0.106, 0.455]"
herbivores-detritivores,Acanthuridae,Zebrasoma scopas,"0.04
[0.005, 0.137]","0.053
[0.005, 0.181]","0.146
[0.015, 0.33]","0.744
[0.491, 0.935]"
herbivores-detritivores,Acanthuridae,Zebrasoma velifer,"0.042
[0.006, 0.127]","0.054
[0.007, 0.189]","0.684
[0.205, 0.823]","0.204
[0.034, 0.693]"
herbivores-detritivores,Kyphosidae,-,"0.1
[0.011, 0.32]","0.139
[0.013, 0.474]","0.141
[0.011, 0.397]","0.56
[0.235, 0.896]"
herbivores-detritivores,Kyphosidae,Kyphosus cinerascens,"0.073
[0.003, 0.33]","0.105
[0.004, 0.454]","0.156
[0.004, 0.678]","0.548
[0.107, 0.941]"
