"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
herbivores-detritivores,-,-,"0.259
[0.108, 0.467]","0.109
[0.013, 0.319]","0.153
[0.018, 0.318]","0.446
[0.255, 0.691]"
herbivores-detritivores,Acanthuridae,-,"0.267
[0.139, 0.421]","0.099
[0.01, 0.254]","0.202
[0.1, 0.323]","0.413
[0.246, 0.595]"
herbivores-detritivores,Acanthuridae,Acanthurus achilles,"0.27
[0.128, 0.409]","0.133
[0.008, 0.369]","0.308
[0.133, 0.441]","0.267
[0.092, 0.528]"
herbivores-detritivores,Acanthuridae,Acanthurus guttatus,"0.323
[0.139, 0.52]","0.085
[0.006, 0.357]","0.13
[0.028, 0.329]","0.43
[0.097, 0.671]"
herbivores-detritivores,Acanthuridae,Acanthurus lineatus,"0.329
[0.181, 0.463]","0.117
[0.008, 0.325]","0.277
[0.103, 0.419]","0.259
[0.09, 0.507]"
herbivores-detritivores,Acanthuridae,Acanthurus nigricans,"0.178
[0.063, 0.292]","0.091
[0.007, 0.279]","0.397
[0.223, 0.544]","0.315
[0.103, 0.581]"
herbivores-detritivores,Acanthuridae,Acanthurus nigrofuscus,"0.186
[0.041, 0.517]","0.061
[0.005, 0.34]","0.125
[0.025, 0.376]","0.602
[0.09, 0.862]"
herbivores-detritivores,Acanthuridae,Acanthurus nigroris,"0.245
[0.069, 0.453]","0.132
[0.008, 0.469]","0.219
[0.059, 0.384]","0.354
[0.1, 0.726]"
herbivores-detritivores,Acanthuridae,Acanthurus olivaceus,"0.11
[0.021, 0.288]","0.041
[0.004, 0.163]","0.08
[0.013, 0.226]","0.742
[0.506, 0.922]"
herbivores-detritivores,Acanthuridae,Acanthurus pyroferus,"0.177
[0.058, 0.319]","0.078
[0.006, 0.299]","0.298
[0.113, 0.448]","0.422
[0.166, 0.708]"
herbivores-detritivores,Acanthuridae,Acanthurus triostegus,"0.267
[0.138, 0.421]","0.158
[0.007, 0.431]","0.199
[0.068, 0.348]","0.354
[0.112, 0.618]"
herbivores-detritivores,Acanthuridae,Ctenochaetus binotatus,"0.375
[0.095, 0.646]","0.1
[0.006, 0.53]","0.122
[0.027, 0.286]","0.332
[0.085, 0.722]"
herbivores-detritivores,Acanthuridae,Ctenochaetus flavicauda,"0.244
[0.101, 0.427]","0.109
[0.008, 0.328]","0.214
[0.083, 0.371]","0.407
[0.124, 0.683]"
herbivores-detritivores,Acanthuridae,Ctenochaetus striatus,"0.458
[0.298, 0.605]","0.097
[0.007, 0.291]","0.115
[0.028, 0.25]","0.316
[0.113, 0.501]"
herbivores-detritivores,Acanthuridae,Naso lituratus,"0.307
[0.145, 0.442]","0.112
[0.009, 0.347]","0.277
[0.106, 0.412]","0.282
[0.11, 0.539]"
herbivores-detritivores,Acanthuridae,Naso unicornis,"0.604
[0.431, 0.753]","0.066
[0.005, 0.273]","0.075
[0.017, 0.179]","0.23
[0.11, 0.397]"
herbivores-detritivores,Acanthuridae,Zebrasoma scopas,"0.11
[0.027, 0.249]","0.05
[0.005, 0.182]","0.173
[0.034, 0.37]","0.649
[0.354, 0.873]"
herbivores-detritivores,Acanthuridae,Zebrasoma velifer,"0.092
[0.024, 0.196]","0.047
[0.005, 0.161]","0.538
[0.119, 0.725]","0.317
[0.067, 0.745]"
herbivores-detritivores,Kyphosidae,-,"0.224
[0.032, 0.467]","0.091
[0.007, 0.352]","0.144
[0.008, 0.371]","0.485
[0.233, 0.854]"
herbivores-detritivores,Kyphosidae,Kyphosus cinerascens,"0.194
[0.016, 0.483]","0.075
[0.005, 0.411]","0.162
[0.005, 0.579]","0.469
[0.126, 0.891]"
herbivores-detritivores,Kyphosidae,Kyphosus vaigiensis,"0.15
[0.014, 0.417]","0.062
[0.003, 0.436]","0.097
[0.004, 0.388]","0.61
[0.252, 0.923]"
herbivores-detritivores,Mugilidae,-,"0.316
[0.123, 0.699]","0.099
[0.007, 0.358]","0.15
[0.011, 0.379]","0.383
[0.101, 0.662]"
herbivores-detritivores,Mugilidae,Ellochelon vaigiensis,"0.512
[0.217, 0.734]","0.085
[0.004, 0.406]","0.12
[0.009, 0.366]","0.225
[0.061, 0.489]"
herbivores-detritivores,Pomacentridae,-,"0.267
[0.094, 0.522]","0.11
[0.009, 0.407]","0.11
[0.012, 0.285]","0.461
[0.227, 0.768]"
herbivores-detritivores,Pomacentridae,Stegastes albifasciatus,"0.358
[0.144, 0.648]","0.146
[0.006, 0.556]","0.058
[0.008, 0.166]","0.373
[0.091, 0.713]"
herbivores-detritivores,Pomacentridae,Stegastes nigricans,"0.214
[0.092, 0.386]","0.093
[0.006, 0.4]","0.056
[0.011, 0.174]","0.601
[0.295, 0.812]"
herbivores-detritivores,Siganidae,-,"0.227
[0.041, 0.44]","0.092
[0.008, 0.329]","0.164
[0.017, 0.386]","0.469
[0.235, 0.82]"
herbivores-detritivores,Siganidae,Siganus argenteus,"0.213
[0.023, 0.468]","0.084
[0.005, 0.4]","0.16
[0.009, 0.475]","0.463
[0.147, 0.862]"
herbivores-detritivores,Siganidae,Siganus spinus,"0.151
[0.025, 0.292]","0.076
[0.005, 0.277]","0.186
[0.011, 0.362]","0.567
[0.327, 0.844]"
